"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Udyr","Jungle",41,"55.4%","29.7%","85.1%","56%","56%",91,75,290,5.1,"66.4%","13.9%","37%",191,395,9.9,6.3,"17.7%",233,"11.7%","19.0%",0.36,0.42
"Urgot","Top",7,"9.5%","2.7%","12.2%","29%","100%",30,28,28,2.1,"65.2%","23.9%","43%",22,-26,-3.6,8.3,"27.8%",486,"25.7%","25.7%",0.45,0.2
"Varus","ADC",17,"23.0%","24.3%","47.3%","41%","29%",67,52,90,3,"68.0%","21.3%","41%",352,83,10.1,8.8,"29.4%",604,"30.8%","26.2%",0.55,0.34
"Vayne","ADC",2,"2.7%","2.7%","5.4%","0%","100%",3,10,1,0.4,"40.0%","20.4%","0%",237,-257,35,7.9,"28.4%",462,"24.7%","27.1%",0.43,0.16
"Vel'Koz","Middle",1,"1.4%","0.0%","1.4%","0%","100%",3,5,5,1.6,"72.7%","23.8%","0%",265,8,1,8.9,"26.5%",450,"29.8%","24.7%",0.41,0.28
"Viktor","Middle",21,"28.4%","17.6%","45.9%","48%","76%",75,54,107,3.4,"69.2%","15.7%","14%",-34,102,1.7,8.8,"27.7%",634,"30.9%","25.2%",0.43,0.15
"Vladimir","Middle",1,"1.4%","0.0%","1.4%","0%","100%",4,3,1,1.7,"71.4%","21.4%","100%",2,2,-1,8.1,"27.7%",454,"26.4%","27.8%",0.41,0.26
"Volibear","Jungle",17,"23.0%","8.1%","31.1%","47%","76%",39,60,116,2.6,"71.1%","22.8%","47%",-326,-562,-13.2,4.8,"13.6%",275,"14.7%","16.5%",0.38,0.31
"Warwick","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","Top",2,"2.7%","4.1%","6.8%","100%","100%",7,4,15,5.5,"61.1%","26.7%","100%",-515,-657,-17.5,8.2,"25.4%",392,"19.3%","21.8%",0.38,0.21
"Xayah","ADC",12,"16.2%","2.7%","18.9%","33%","58%",39,35,57,2.7,"64.0%","19.6%","8%",-137,-14,1.8,9.2,"33.4%",556,"28.9%","26.6%",0.4,0.36
"Xin Zhao","Jungle",6,"8.1%","6.8%","14.9%","67%","100%",34,13,47,6.2,"68.6%","14.4%","33%",357,300,2.5,6,"17.0%",526,"23.3%","20.2%",0.41,0.31
"Yasuo","ADC",1,"1.4%","0.0%","1.4%","100%","100%",7,2,13,10,"58.8%","18.2%","0%",-381,7,3,8.9,"35.2%",552,"17.6%","27.8%",0.39,0.31
"Yone","Middle",1,"1.4%","1.4%","2.7%","100%","100%",2,6,12,2.3,"73.7%","37.5%","0%",119,-74,7,9.7,"33.5%",497,"20.7%","25.9%",0.44,0.23
"Yorick","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",2,"2.7%","0.0%","2.7%","100%","100%",22,4,16,9.5,"63.3%","17.4%","0%",-1022,-704,-28.5,7,"26.0%",845,"32.9%","24.7%",0.31,0.16
"Zoe","Middle",5,"6.8%","14.9%","21.6%","60%","60%",26,7,35,8.7,"77.2%","12.5%","40%",381,94,3.4,7.7,"22.7%",508,"24.9%","23.6%",0.39,0.17
"Zyra","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
